Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008035921,0.0079794386,0.0158427763,0.0392044692,0.0772484474,0.1060012454,0.1182284123,0.2012731967,0.3490604619,0.5421428658,0.6575925904,0.7,0.81,0.9,1,1.11,1.2199999448,1.2642181112,1.38,4.8662244636,5.1736267765,
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010067396,0.0200726449,0.1000410268,0.1994460585,0.6959946898,0.9916629901,2.9684116475,4.9380809097,7.8866227007,13.772214459,29.4316916924,31.2883955057,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.6099959956,80.7199905482,82.1702,85,85.0529,86.5165,
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0016931002,0.0246487957,0.0478773039,0.1549067407,0.2252478515,0.36341789,0.7029455951,0.9513271149,1.1825409652,1.2710314395,1.5378543462,1.79,1.85,2.24,3.13,4.1483230656,4.5,4.9,6,11.2549879092,11.9940479082,
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0009605186,0.0186863531,0.0454234841,0.0617802927,0.0770801689,0.1577324647,0.2009925979,0.3734403032,0.4002952855,0.4699144887,0.6327075645,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4,11.3876461662,13.96,
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0007510458,0.0036848126,0.0361704075,0.0710394231,0.1298079739,0.1399202885,0.1638776655,0.1990363337,0.2416373256,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4,18.2469380029,
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0023390423,0.0195266688,0.1196655491,0.7252511666,1.2198131319,1.8449651209,2.9081540251,5.3709234691,7.6122977488,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.9799930506,51.8999876659,53.0615,55.49,56.6563,59.825547661,
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.3462058436,0.8432542192,1.6462992017,3.2182021514,4.7203581178,6.1537325465,15.0386342514,18.0507208881,21.5549449918,21.4586805077,21.3037335137,28.2439524318,32.91,51.95,53,55,76.9999665032,88,90.0000397,90.5031334815,93.4783011354,97.9999807024,
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.960030721,1.7469506976,1.3629539028,2.3355907104,3.7645578218,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482028147,72,76.92,78,80,
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0151255634,0.0594255628,0.1436710599,0.1943741998,1.0829607497,1.2005269513,2.6482679136,3.9650368339,15.4689716228,21.3267010008,25.1223856852,27.92,34.66,37.74,42.75,43.8876865286,45.0645004335,48.5213141734,49.9177324336,52.6027298845,54.7370743875,
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0004859509,0.0029212544,0.0292982941,0.049020891,0.0738688973,0.4948812453,1.8603981262,4.3006160215,8.9509713147,,,,16.2,19.7,23,27.43,31.8,39.6488956599,46.91,54.17,59.02,67.3,71.1130457604,
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0453971799,0.8828073273,1.2885823018,2.0915163912,4.0767405644,5.9638353027,,5.6842512136,,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.5899999998,44.57574032,
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,6.8381634647,16.2024660153,24.1892567448,32.1037593502,39.9475887635,42.9498600153,47.5096998971,52.03159737,56.5220121836,60.9908670086,65.4470657899,69.8996551617,74.3505940303,82.3,83.25,84.21,88.336,91.2993045243,95.3,96.8,98.3236096537,98,
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0668075683,0.1960811739,0.4478390359,0.6264840624,0.9818151873,1.4427635848,2.1204625341,3.117192947,3.5085964007,4.4399246012,5.2275839566,6.2006712547,10.4992443169,12.5,16.8,22.4,30,35.34,36.99,34.6,35.56227065,39.6975146033,
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0032881707,0.0129462624,0.0254982532,0.0376727094,0.1051381678,0.4507891789,0.786079155,1.4778749586,2.0387321835,2.8706851585,4.528494869,9.1494250856,13.2075861035,19.0736722744,21.0227472488,28.1783801798,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.5510018796,58.3279517341,60.8725400681,
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0077522385,0.3894642141,0.7834289117,1.9702492365,2.3762470346,3.9736783546,11.9364503384,27.8363224241,39.689627116,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.5493978889,
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.0170801663,3.3033499272,4.8310579051,6.284742844,7.6710412058,8.9962845345,12.9177690823,15.3298798557,19.5950032207,29.7156041448,36.4663919476,42.1863491609,44.68,46,49,53,56,60.2730650423,64.5,68.77,71.2,90,
